_address,_time,_date,_type,_body,_read,_service_center,Label
TX-ESTMDO,"Sep 26, 2024 03:41:29",1.72732E+12,1,Let’s catch up over coffee at library.,0,9.15212E+11,personal
TX-GZQFFV,"Jul 16, 2024 06:34:22",1.72111E+12,1,"Hey, are we still meeting at 2pm tomorrow?",0,9.19257E+11,personal
TX-XRMUEW,"Jun 18, 2024 16:44:11",1.71873E+12,1,A/c *1850 has insufficient funds for transaction of Rs.4819.,0,9.157E+11,bank
JD-620016,"Apr 17, 2025 16:27:19",1.74489E+12,1,"Recharge now Jio no 9391787607 with Rs.899 plan with Jio Unlimited Offer of Free JioHotstar Mobile/TV subscription for 90 Days to enjoy Live Cricket. Plan 899 benefits: Unlimited 5G data + 2 GB/day & 20 GB extra 4G data, Unlimited Voice for 90 Days. Use Google Pay app & stay connected. T&CA. https://gpay.app.goo.gl/8XWn2u",0,9.17011E+11,spam
TX-EXJEVC,"Apr 04, 2023 09:44:47",1.6806E+12,1,Congratulations! You have won a lottery of Rs.208. Claim now at www.offer973.com,0,9.10351E+11,spam
AA-AIRTEL-S,"Jul 26, 2025 18:42:25",1.75354E+12,1,"Pack Valid till 26 Jul 2025. CallCost:Rs0.00 Duration:00:01:19 Bal:Rs0.95. 598=JioHotstar 1M,Netflix, Zee5,Xstream,2GB/D,28D",0,9.19845E+11,other
TX-PRZITD,"May 05, 2025 22:41:47",1.74648E+12,1,Don’t forget to bring the notes for class.,0,9.1689E+11,personal
TX-KPGSAM,"Feb 20, 2024 18:22:00",1.70845E+12,1,Reminder: Your bill of Rs.4396 is due on 04-10-2025.,0,9.15333E+11,other
TX-FLYOVQ,"Jan 31, 2024 11:29:14",1.7067E+12,1,Your loan of Rs.3546 is pre-approved. Call +918916434938 today.,0,9.13332E+11,spam
TX-YPIFGZ,"Feb 14, 2023 15:59:42",1.67639E+12,1,Subscription renewed successfully for Rs.2848. Enjoy services.,0,9.13523E+11,other
9.19E+11,"Apr 22, 2025 08:30:58",1.74529E+12,1,"Dear Customer, +919014497639 is now available to take calls.",1,9.19014E+11,other
TX-FNXFNY,"Sep 07, 2023 02:07:01",1.69405E+12,1,Win a smartphone! Register at www.offer876.com now,0,9.10019E+11,spam
TX-GBGUUY,"Dec 31, 2023 19:57:56",1.70405E+12,1,Win a smartphone! Register at www.offer467.com now,0,9.14244E+11,spam
TX-XNIYCT,"Aug 12, 2024 10:15:20",1.72346E+12,1,Happy Birthday! 🎉 Hope you have a wonderful day.,0,9.16429E+11,personal
TX-FHXYVF,"Jan 18, 2024 00:30:08",1.70554E+12,1,Reminder: Your bill of Rs.1212 is due on 01-10-2025.,0,9.14427E+11,other
TX-PDNRJH,"Feb 08, 2023 02:01:11",1.67582E+12,1,Don’t forget to bring the notes for class.,0,9.13204E+11,personal
VM-CBSSBI,"Apr 19, 2025 12:59:55",1.74505E+12,1,A loan A/c No XXXXX937906 opened today for Rs. 120000.00 at SBI Branch code 06108 as per your request. Please contact Branch for further information,1,9.1982E+11,bank
JA-JioPay-S,"Jun 19, 2025 22:17:11",1.75035E+12,1,"DAILY DATA USAGE ALERT! 50% of daily data used as on 19-Jun-25 22:17 ! Jio Number : 9391787607  Daily Data quota as per plan : 1.50 GB  For data saving tips, watch this video : http://tiny.jio.com/Savingtips To track your data balance and usage, click http://tiny.jio.com/mobile",1,9.19014E+11,spam
TX-INSRBF,"Apr 25, 2024 13:50:32",1.71405E+12,1,Your loan of Rs.91 is pre-approved. Call +916799654660 today.,0,9.12555E+11,spam
TX-QZPWXQ,"Feb 07, 2025 21:07:00",1.73896E+12,1,A/c *6651 Credited with Rs.4278 on 15-09-2025. Avl Bal: Rs.12666.,0,9.12365E+11,bank
TX-VCGNNO,"Apr 11, 2025 00:30:07",1.74433E+12,1,"Hey, are we still meeting at 2am tomorrow?",0,9.1749E+11,personal
TX-BHYUCV,"Jun 15, 2025 07:01:14",1.74997E+12,1,Your order #29539 has been shipped. Track here: www.offer551.com,0,9.17965E+11,other
TX-DQWLTU,"Jul 03, 2023 03:47:20",1.68836E+12,1,Limited time offer! Get 29% off on all items. Visit www.offer366.com,0,9.14245E+11,spam
JK-620016-P,"Jun 24, 2025 16:23:35",1.75076E+12,1,Get an instant 2 GB data boost for 48 hours at Rs 29 . Recharge now: www.jio.com/r/BjxvLdzqU,1,9.17003E+11,spam
TX-SHZKDT,"Dec 17, 2023 13:59:32",1.70282E+12,1,Recharge successful for Rs.1747. Validity: 14 days.,0,9.17609E+11,other
TX-SKVJHD,"Aug 28, 2024 09:24:43",1.72484E+12,1,Don’t forget to bring the notes for class.,0,9.17243E+11,personal
TX-BCXOYX,"Feb 28, 2023 04:38:34",1.67756E+12,1,Let’s catch up over coffee at Starbucks.,0,9.14252E+11,personal
VA-UNIONB,"May 1, 2025 17:36:55",1.7461E+12,1,A/c *1739 Credited for Rs:1000.00 on 01-05-2025 17:36:48 by Mob Bk ref no 949308834641 Avl Bal Rs:1145.97.Never Share OTP/PIN/CVV-Union Bank of India,0,9.17012E+11,bank
TX-MFDSXT,"Jan 28, 2024 17:59:26",1.70646E+12,1,Let’s catch up over coffee at Cafe Coffee Day.,0,9.12487E+11,personal
TX-FWNYQA,"Feb 26, 2025 11:10:30",1.74057E+12,1,Can you call me back when you’re free?,0,9.16569E+11,personal
TX-KRUGLL,"Nov 06, 2023 01:06:55",1.69923E+12,1,Free recharge of Rs.405. Click www.offer393.com to claim instantly,0,9.19339E+11,spam
TX-MZAYVS,"Oct 21, 2024 19:17:52",1.72954E+12,1,A/c *5474 Credited with Rs.4405 on 15-09-2025. Avl Bal: Rs.27838.,0,9.12313E+11,bank
TX-UTZICN,"Jul 24, 2025 05:32:39",1.75334E+12,1,Can you call me back when you’re free?,0,9.18991E+11,personal
TX-MCTXPX,"Feb 21, 2023 15:43:02",1.67699E+12,1,Your order #83821 has been shipped. Track here: www.offer997.com,0,9.1866E+11,other
TX-VCSADJ,"Jul 12, 2023 19:04:46",1.68919E+12,1,A/c *1566 Debited for Rs.635 on 19-09-2025. Avl Bal: Rs.30290.,0,9.15506E+11,bank
AD-AIRTEL,"Apr 21, 2025 15:56:42",1.74523E+12,1,"Important Information: You have access to FREE Airtel Xstream Play on your Airtel number. Enjoy movies, shows and Live TV now at no added cost. https://open.airtelxstream.in/FREE_CONTENT",0,9.1981E+11,spam
TX-FWVVOE,"May 24, 2025 08:43:08",1.74808E+12,1,Win a smartphone! Register at www.offer400.com now,0,9.1943E+11,spam
TX-VMALZL,"Mar 19, 2024 23:24:49",1.71089E+12,1,"Dear Customer, your FD of Rs.686 matures on 29-09-2025.",0,9.19391E+11,bank
TX-ICMQYI,"Jul 27, 2024 10:57:30",1.72208E+12,1,Your courier with tracking ID TRK734843 will be delivered today.,0,9.15436E+11,other
TX-MJDKDU,"Aug 09, 2023 14:33:30",1.69159E+12,1,Let’s catch up over coffee at Cafe Coffee Day.,0,9.12656E+11,personal
TX-ABMVLE,"Oct 13, 2023 01:24:09",1.69716E+12,1,Congratulations! You have won a lottery of Rs.2139. Claim now at www.offer518.com,0,9.11216E+11,spam
TX-QIRZIM,"Sep 23, 2024 13:45:39",1.7271E+12,1,Happy Birthday! 🎉 Hope you have a wonderful day.,0,9.11367E+11,personal
AA-AIRTEL,"Jun 2, 2025 13:14:20",1.74885E+12,1,Airtel Unlimited Pack validity for 6302080493 is till 04-Jun-25. Recharge TODAY without losing your current validity i.airtel.in/FDPNew Ignore if already done,0,9.19831E+11,spam
TX-PHNQQE,"May 01, 2024 20:54:40",1.7146E+12,1,"Dear Customer, your FD of Rs.967 matures on 14-09-2025.",0,9.17415E+11,bank
VA-MBUNIV-T,"Aug 28, 2025 21:04:08",1.7564E+12,1,"Dear Parent, MAILE VENU MADHAV . is absent on 28/08/2025 - Mohan Babu University",0,9.17012E+11,personal
TX-CLODTA,"Sep 09, 2023 23:43:26",1.6943E+12,1,Subscription renewed successfully for Rs.3828. Enjoy services.,0,9.16066E+11,other
TX-YQOCSM,"Dec 28, 2024 04:57:19",1.73536E+12,1,Free recharge of Rs.4613. Click www.offer733.com to claim instantly,0,9.13706E+11,spam
BH-ADHAAR-S,"May 9, 2025 08:02:58",1.74676E+12,1,269375 is OTP for Aadhaar (XX0858) (valid for 10 mins) at NIC. Send SMS to 1947/visit uidai.gov.in to lock/unlock your biometrics -UIDAI,1,9.19418E+11,other
TX-YUZYIG,"May 01, 2025 12:19:48",1.7461E+12,1,A/c *1489 Debited for Rs.3616 on 09-09-2025. Avl Bal: Rs.20646.,0,9.15446E+11,bank
TX-MVJJTW,"Nov 08, 2023 19:37:17",1.69947E+12,1,Reminder: Your bill of Rs.1825 is due on 28-09-2025.,0,9.15715E+11,other
TX-GJYGBO,"Dec 09, 2024 17:41:26",1.73377E+12,1,Recharge successful for Rs.2049. Validity: 124 days.,0,9.15234E+11,other
TX-KCHGUS,"Sep 15, 2024 07:56:41",1.72639E+12,1,A/c *2239 Credited with Rs.4910 on 18-09-2025. Avl Bal: Rs.48736.,0,9.11442E+11,bank
AA-AIRTEL-P,"Jul 18, 2025 17:14:46",1.75284E+12,1,Your 2GB gift is expiring soon! Claim it at no extra cost via Airtel Thanks App. Click i.airtel.in/Free_2GB_1,0,9.19831E+11,spam
TX-NDALHQ,"Mar 01, 2024 08:56:56",1.70928E+12,1,Recharge successful for Rs.4242. Validity: 322 days.,0,9.13675E+11,other
JA-DOTGOI-G,"Jul 23, 2025 07:34:31",1.75324E+12,1,"Receiving fraud calls, SMSs in the name of Govt officials, Police, CBI, Customs or Bank, electricity, Insurance KYC? Please report at Sanchar Saathi portal www.sancharsaathi.gov.in Download Sanchar Saathi App today. Android: https://play.google.com/store/apps/details?id=com.dot.app.sancharsaathi iOS: https://apps.apple.com/in/app/sanchar-saathi/id6739700695",0,9.19014E+11,spam
JK-UNIONB-S,"Aug 14, 2025 21:17:53",1.75519E+12,1,"A/c *1739 Debited for Rs:100000.00 on 14-08-2025 21:17:43 by Mob Bk ref no 985623037361 Avl Bal Rs:92305.34.If not you, Call 1800222243 -Union Bank of India",1,9.17003E+11,bank
JD-INDANE-S,"Aug 3, 2025 07:16:38",1.75419E+12,1,Invoice generated for Rs. 924.Share DAC 1575 on delivery. Download eInvoice https://cx.indianoil.in/webcenter/portal/LPG/pages_h?cId=14754853176 INDANE,1,9.17011E+11,spam
JK-UNIONB-S,"Aug 26, 2025 14:04:17",1.7562E+12,1,"A/c *1739 Debited for Rs:90.00 on 26-08-2025 14:04:06 by Mob Bk ref no 560489935817 Avl Bal Rs:2979.34.If not you, Call 1800222243 -Union Bank of India",0,9.17003E+11,bank
JK-NSESMS-S,"May 12, 2025 22:50:47",1.74707E+12,1,"ANGEL ONE LIMITED on 03-05-25 reported your Fund bal Rs.0 & Securities bal 0. This excludes your Bank, DP & PMS bal with the broker-NSE",0,9.17003E+11,other
TX-CIUFXN,"Jan 21, 2024 17:26:05",1.70586E+12,1,Let’s catch up over coffee at library.,0,9.14122E+11,personal
AA-AIRTEL-S,"Jul 23, 2025 12:15:35",1.75325E+12,1,Airtel pack on 6302080493 ends on 26-Jul-25. Recharge today without losing your current validity i.airtel.in/FDPNew Ignore if already done,0,9.19831E+11,spam
TX-DKPGVZ,"Oct 29, 2024 11:22:35",1.7302E+12,1,Subscription renewed successfully for Rs.2361. Enjoy services.,0,9.11062E+11,other
JM-ZOMATO,"Apr 10, 2025 01:54:31",1.74423E+12,1,"Hi, Delivery partners at Zomato earn up to Rs 27000/month, work anytime, get daily payouts, insurance & more. Join now: https://zoma.to/ZOMATO/dp/rider -ZOMATO",0,9.17021E+11,spam
TX-CFJFLF,"Sep 27, 2024 14:36:43",1.72745E+12,1,Subscription renewed successfully for Rs.1143. Enjoy services.,0,9.17028E+11,other
TX-YGQPBE,"Feb 17, 2023 01:17:56",1.6766E+12,1,Reminder: Your bill of Rs.428 is due on 18-09-2025.,0,9.16231E+11,other
TX-WRDRMA,"Oct 15, 2024 03:25:11",1.72896E+12,1,Limited time offer! Get 16% off on all items. Visit www.offer604.com,0,9.18923E+11,spam
TX-CAWOXF,"Jul 19, 2023 01:19:05",1.68973E+12,1,Happy Birthday! 🎉 Hope you have a wonderful day.,0,9.13975E+11,personal
TX-DFBIWN,"Jun 13, 2025 21:46:18",1.74985E+12,1,Your loan of Rs.1661 is pre-approved. Call +917184376136 today.,0,9.12786E+11,spam
TX-KNETIB,"Nov 22, 2023 14:55:14",1.70066E+12,1,"Hey, are we still meeting at 9pm tomorrow?",0,9.15867E+11,personal
TX-JCKWUK,"Jul 31, 2023 04:33:35",1.69078E+12,1,A/c *4144 has insufficient funds for transaction of Rs.4588.,0,9.19217E+11,bank
TX-KGSOAG,"Feb 17, 2023 03:58:33",1.67661E+12,1,"Dear Customer, your FD of Rs.4741 matures on 03-10-2025.",0,9.17666E+11,bank
TX-RELCZG,"Jan 07, 2025 09:30:21",1.73624E+12,1,A/c *9124 Credited with Rs.4948 on 15-09-2025. Avl Bal: Rs.39312.,0,9.12511E+11,bank
TX-TADUVH,"Jul 28, 2025 09:05:56",1.75369E+12,1,Your order #38887 has been shipped. Track here: www.offer367.com,0,9.11475E+11,other
TX-IPAKPR,"Sep 07, 2023 14:15:22",1.6941E+12,1,A/c *3345 Debited for Rs.1774 on 11-09-2025. Avl Bal: Rs.15451.,0,9.1065E+11,bank
9.19E+11,"May 7, 2025 18:16:20",1.74662E+12,1,"Dear Customer, +919014497639 is now available to take calls.",0,9.19014E+11,other
TX-OQTYXT,"Jun 15, 2024 09:07:17",1.71844E+12,1,Your OTP for transaction at Amazon is 473751. Valid for 5 mins.,0,9.17471E+11,bank
TX-UTCOZY,"Apr 20, 2024 18:23:24",1.71364E+12,1,A/c *4034 Credited with Rs.4865 on 19-09-2025. Avl Bal: Rs.9700.,0,9.12458E+11,bank
JA-JioPay-S,"Jun 26, 2025 22:17:05",1.75096E+12,1,Data usage Alert! 50% of your daily data used as of 26-Jun-25 22:17 Jio Number: 9391787607 Daily Quota: 1.50 GB For data saving tips: http://tiny.jio.com/Savingasm Track your data balance and usage: http://tiny.jio.com/mobile,0,9.19014E+11,spam
AA-AIRTEL,"Jun 7, 2025 16:16:53",1.74929E+12,1,"Still not Recharged? Airtel services on 6302080493 have expired. To restart now, recharge with an Unlimited Pack i.airtel.in/FDPNew Ignore if recharged",0,9.19831E+11,spam
TX-RUGZKZ,"Mar 02, 2023 04:32:12",1.67773E+12,1,Free recharge of Rs.4375. Click www.offer454.com to claim instantly,0,9.17147E+11,spam
JM-UNIONB,"Apr 25, 2025 07:09:03",1.74555E+12,1,A/c *1739 Credited for Rs:800.00 on 25-04-2025 07:08:57 by Mob Bk ref no 786521053740 Avl Bal Rs:908.87.Never Share OTP/PIN/CVV-Union Bank of India,0,9.1917E+13,bank
AA-650024-P,"May 31, 2025 11:36:19",1.74867E+12,1,Bring home a wide range of TV channels with Airtel Digital TV. Free installation included. Click i.airtel.in/DTH-Sale-1,1,9.19831E+11,spam
TX-WITKDL,"Feb 17, 2024 01:32:24",1.70813E+12,1,Your courier with tracking ID TRK536642 will be delivered today.,0,9.17102E+11,other
TX-PRYUHP,"Apr 25, 2023 13:06:20",1.68243E+12,1,Reminder: Your bill of Rs.1536 is due on 25-09-2025.,0,9.13297E+11,other
TX-LFNEUK,"Jun 30, 2025 07:46:55",1.75127E+12,1,Reminder: Your bill of Rs.2166 is due on 23-09-2025.,0,9.19238E+11,other
AA-650024-P,"Aug 19, 2025 14:03:02",1.75559E+12,1,Free entertainment with Airtel! Access movies and live TV on Airtel Xstream Play at no added cost. Watch now - open.airtelxstream.in/FREE_ENTERTAINMENT,0,9.19891E+11,spam
TX-TOXISZ,"Nov 17, 2023 15:08:00",1.70023E+12,1,A/c *7848 Credited with Rs.1146 on 04-10-2025. Avl Bal: Rs.12640.,0,9.15256E+11,bank
TX-GPEMGF,"Jun 30, 2024 14:41:45",1.71976E+12,1,Don’t forget to bring the notes for class.,0,9.14202E+11,personal
TX-IKVOSJ,"Jul 20, 2024 00:22:21",1.72143E+12,1,Happy Birthday! 🎉 Hope you have a wonderful day.,0,9.18374E+11,personal
AX-GYNTVA-S,"Aug 24, 2025 09:18:19",1.75601E+12,1,353345 is the OTP to login on GyanTV. eswtQRxAfyU,0,9.19846E+11,other
TX-BMHFHI,"May 04, 2025 19:00:22",1.74639E+12,1,Don’t forget to bring the notes for class.,0,9.12616E+11,personal
TX-AOZEVN,"Nov 21, 2024 00:26:49",1.73215E+12,1,Don’t forget to bring the notes for class.,0,9.14861E+11,personal
AA-AIRTEL-P,"May 12, 2025 17:22:39",1.74705E+12,1,Your 2GB gift is expiring soon! Claim it at no extra cost via Airtel Thanks App. Click https://i.airtel.in/Free_2GB_1,1,9.1984E+11,spam
TX-CFXFSU,"Dec 20, 2023 08:22:08",1.70306E+12,1,"Hey, are we still meeting at 12pm tomorrow?",0,9.10976E+11,personal
TX-AICQLK,"Nov 11, 2023 23:35:26",1.69975E+12,1,Your order #45016 has been shipped. Track here: www.offer256.com,0,9.13047E+11,other
TX-XKBBJC,"Nov 18, 2024 19:17:23",1.73196E+12,1,"Hey, are we still meeting at 2am tomorrow?",0,9.11642E+11,personal
TX-FUSQOX,"Jul 23, 2023 12:36:11",1.69012E+12,1,Your loan of Rs.1517 is pre-approved. Call +917015132265 today.,0,9.13603E+11,spam
TX-YRSQQH,"Jul 16, 2024 09:13:28",1.72112E+12,1,Subscription renewed successfully for Rs.1505. Enjoy services.,0,9.10284E+11,other
AD-HOUSNG,"Apr 1, 2025 17:36:51",1.74351E+12,1,4227 is your OTP for login. Please use this OTP to complete your phone number verification AZR0WfYTzaq @seller.housing.com -Housing,0,9.19845E+11,other
